City_name,State,Volume (MG),Electricity (kWh),Natural Gas (therm),Fuel oil (gal),Biogas generation (therms),Population,Total (kWhe),Volume (Mm3),Elect_Intensity_kWh/m3,Elect_PC_kwh/cap/yr,Energy_intens_kWh/m3,Energy_intens_kWh/cap
CharlestonSC,SC,22338,0,0,,0,400000,,,,,,
CheyenneWY,WY,3156.595002,0,0,,0,60096,,,,,,
CorpusChristiTX,TX,9529.661,0,0,,0,312154,,,,,,
FresnoCA,CA,23062.08,0,0,,0,524320,,,,,,
IndianapolisIN,IN,0,0,0,,0,800000,,,,,,
HoustonTX,TX,82634.65,0,0,,0,2800000,,,,,,
KnoxvilleTN,TN,12930.16501,0,0,,0,453000,,,,,,
LakeCharlesLA,LA,3963.49755,0,0,,0,73364,,,,,,
LubbockTX,TX,7847.171256,0,0,,0,236326,,,,,,
PortlandOR,OR,31597.3,0,0,,0,900000,,,,,,
RaleighNC,NC,16052.208,0,0,,0,500000,,,,,,
SavannahGA,GA,6847.86,0,0,,0,237288,,,,,,
TulsaOK,OK,19394.3671,0,0,,0,471000,,,,,,
