Method,RMSE (MJ/m3),MAPE (%),MPE (%)
Configuration A (T),1.4707597055443913,50.42390371437391,5.024267710211815
Configuration A (BP),1.6752363316492418,49.911760466367426,-30.17264949209892
Configuration B (T),1.4811740457574634,52.64343542057132,7.540021399734445
Configuration B (BP),1.6754250778650253,48.0945204790246,-29.011691997125173
Regression,2.710219081275,154.04663317199882,150.34534454079824
