CWNS_NUM,2012_FLOW_MM3,2012_FLOW_MWH,2012_EFFLUENT_A_MWH,2012_EFFLUENT_B_MWH,2012_CONFIGURATION_A_T_ELEC_USE_MWH,2012_CONFIGURATION_A_T_ELEC_GEN_MWH,2012_CONFIGURATION_A_T_ENERGY_USE_MJ,2012_CONFIGURATION_A_BP_ELEC_USE_MWH,2012_CONFIGURATION_A_BP_ELEC_GEN_MWH,2012_CONFIGURATION_A_BP_ENERGY_USE_MJ,2012_CONFIGURATION_B_T_ELEC_USE_MWH,2012_CONFIGURATION_B_T_ELEC_GEN_MWH,2012_CONFIGURATION_B_T_ENERGY_USE_MJ,2012_CONFIGURATION_B_BP_ELEC_USE_MWH,2012_CONFIGURATION_B_BP_ELEC_GEN_MWH,2012_CONFIGURATION_B_BP_ENERGY_USE_MJ,2012_PROCESS_A_MWH,2012_PROCESS_B_MWH,2012_BIOGAS_A_MWH,2012_BIOGAS_B_MWH,2012_BIOGAS_C_MWH,2012_REGRESSION_MJ
01000002001,0.08290053450024983,72.12346501521735,45.55696483011068,29.214599999999997,,,,,,,0.278326312257,0.0,278.326312257,0.278326312257,0.0,278.326312257,0.7676589494723134,15.660206673303751,0.0,0.0,0.0,755526.2589789598
01000003001,4.1450267250124915,3274.571112759869,2945.871040609906,2018.085,,,,,,,1460.8395,0.0,5259022.2,952.7595000000001,0.0,3429934.1999999997,1927.4374271308086,1571.4962642142239,0.0,0.0,0.0,28982549.653092775
01000004001,6.49387520251957,4091.1413775873298,4615.197963622186,3161.6665000000007,,,,,,,2712.4285149999996,0.0,9764742.654000001,1746.182942857143,0.0,6286258.5935505,4740.5288978392855,2494.608866085354,0.0,0.0,0.0,37480730.373012304
01000004002,2.0863301182562872,1815.10720288297,1146.516948224452,735.2340999999999,,,,,,,871.4397994999998,0.0,3137183.2781999996,561.0077114285714,0.0,2019627.76090665,1523.5634321578364,1187.8577046975076,0.0,0.0,0.0,11710563.797192656
01000005001,0.023488484775070786,20.434981754311583,12.907806701864693,8.27747,,,,,,,0.0860013,0.0,86.0013,0.0860013,0.0,86.0013,4.674208470239087,4.437058557436064,0.0,0.0,0.0,182919.0747355787
01000006004,2.0448798510061628,1779.0454703753617,1453.2963800342204,995.5886000000003,1122.6436400000002,0.0,4379142.104,743.9094200000001,0.0,2999600.9520000005,1122.6436400000002,0.0,4379142.104,743.9094200000001,0.0,2999600.9520000005,2812.2414638947353,2541.9180198734157,0.0,0.0,0.0,16374015.25747508
01000007001,12.158745060036644,6444.134881819422,8641.221719122392,5919.716000000002,4285.129200000001,0.0,15426465.120000005,2794.761200000001,0.0,10061140.32,4285.129200000001,0.0,15426465.120000005,2794.761200000001,0.0,10061140.32,9170.85504898324,5761.349877594901,0.0,0.0,0.0,64111495.17744702
01000007002,1.435560922429326,1248.9380025135138,1020.2533370645638,698.9301049999999,,,,,,,557.8635818530998,0.0,2126819.83217116,385.4184407608714,0.0,1500366.7226578726,1141.6441791711459,811.6513535217962,0.0,0.0,0.0,7406179.952038856
01000009001,1.119157215753373,973.6667777054345,615.0190252064943,394.3971000000001,,,,,,,557.0776018980001,0.0,2190260.6168328007,366.4907184625715,0.0,1495337.4663385504,716.2606180821588,719.9862152315536,0.0,0.0,0.0,5967838.314112353
01000009002,1.6027436670048298,1394.3869902942017,880.7679867154731,564.8155999999999,,,,,,,797.7901459279999,0.0,3136669.5253408,524.8509054525715,0.0,2141470.9394477997,1026.1726602365125,1031.0913699612372,0.0,0.0,0.0,7165936.292153694
01000010001,0.8621655588025982,750.0840361582605,612.7411764468603,419.76168,473.330832,0.0,1846340.9951999998,313.6482959999999,0.0,1264696.6176,473.330832,0.0,1846340.9951999998,313.6482959999999,0.0,1264696.6176,567.098017957997,964.6687307439091,0.0,0.0,0.0,4336607.902707687
01000011001,0.40621261905122413,353.40497857456506,223.22912766754234,143.15153999999998,,,,,,,1.3637989300593,0.0,1363.7989300593001,1.3637989300593,0.0,1363.7989300593001,3.761528852414335,76.73501269918839,0.0,0.0,0.0,2607251.521736645
01000012001,6.908377875020819,4352.278061263116,4909.785067683176,3363.475,,,,,,,3308.089754,0.0,13049748.114400001,2181.919670410714,0.0,8941150.8130875,,1138.9241228252806,0.0,0.0,0.0,39538288.11261898
