,# Cities,CWNS_TOT_2012_FLOW_MM3,Configuration A (T),Configuration A (BP),Configuration B (T),Configuration B (BP),Regression
16-46 MM3/YEAR,10,333.53095710370513,155.79071620139172,100.05304819000405,154.4012225895599,98.79933196992111,399.5710196694569
46-100 MM3/YEAR,7,464.59255712187513,149.3391031536819,102.4224230321569,130.1722718039604,85.22080294994898,298.7525476560091
100+ MM3/YEAR,14,5654.486565570915,115.74177615036058,76.33773766164492,123.30766918584422,77.94697473850307,257.0634175024457
Secondary,12,2536.5421959935193,132.99418281182537,85.16519820927287,139.81373305220862,87.09344114499196,280.9359926505443
Advanced Treatment,16,3362.8988689187345,115.21237047822424,78.33375388207799,107.46394198108695,69.98637269902176,284.18174115015887
Mix,3,553.169014884242,261.44587626708204,170.29777658788186,261.44587626708204,170.29777658788186,589.2420350372666
< 35 degrees,4,681.7753774056296,231.18035315901068,142.20392138173827,229.8367772693026,140.5545002662099,564.1019976837318
35 - 42.5 degrees,19,5262.809173568735,111.79086687941854,75.61463204685283,115.684824497957,77.31673896988622,263.72871953875875
> 42.5 degrees,8,508.025528822131,146.86473335621795,97.59025949637638,133.02084032334346,80.5700681494024,302.3265266686911
