CWNS_NUM,2042_FLOW_MM3,2042_FLOW_MWH,2042_EFFLUENT_A_MWH,2042_EFFLUENT_B_MWH,2042_CONFIGURATION_A_T_ELEC_USE_MWH,2042_CONFIGURATION_A_T_ELEC_GEN_MWH,2042_CONFIGURATION_A_T_ENERGY_USE_MJ,2042_CONFIGURATION_A_BP_ELEC_USE_MWH,2042_CONFIGURATION_A_BP_ELEC_GEN_MWH,2042_CONFIGURATION_A_BP_ENERGY_USE_MJ,2042_CONFIGURATION_B_T_ELEC_USE_MWH,2042_CONFIGURATION_B_T_ELEC_GEN_MWH,2042_CONFIGURATION_B_T_ENERGY_USE_MJ,2042_CONFIGURATION_B_BP_ELEC_USE_MWH,2042_CONFIGURATION_B_BP_ELEC_GEN_MWH,2042_CONFIGURATION_B_BP_ENERGY_USE_MJ,2042_PROCESS_A_MWH,2042_PROCESS_B_MWH,2042_BIOGAS_A_MWH,2042_BIOGAS_B_MWH,2042_BIOGAS_C_MWH,2042_REGRESSION_MJ
30000044001,0.042831942825129074,37.2637902578623,23.537765162223852,15.094209999999997,,,,,,,0.14380192799945002,0.0,143.80192799945002,0.14380192799945002,0.0,143.80192799945002,0.3854874854261616,8.091106781206939,0.0,0.0,0.0,337655.1114679144
30000180001,0.6908377875020819,601.0288751268114,490.97850676831763,336.3475,193.0485,0.0,694974.6000000001,144.7225,0.0,521001.00000000006,193.0485,0.0,694974.6000000001,144.7225,0.0,521001.00000000006,411.2281013884893,259.178244902942,0.0,0.0,0.0,4612629.581322128
28001370001,0.09671729025029147,84.14404251775358,68.73699094756446,47.08865,,,,,,,0.3247140309665,0.0,324.7140309665,0.3247140309665,0.0,324.7140309665,9.116571778992475,45.86724863971201,0.0,0.0,0.0,780251.7751478658
41000189001,0.04145026725012491,36.061732507608674,22.77848241505534,14.607299999999999,,,,,,,0.1391631561285,0.0,139.1631561285,0.1391631561285,0.0,139.1631561285,0.010777069485032476,7.8301033366518755,0.0,0.0,0.0,296463.0769139398
41000235001,0.10086231697530396,87.75021576851444,55.42764054330133,35.54442999999999,,,,,,,39.19542009170001,0.0,149430.07483012002,27.07944771467143,0.0,105415.56376710751,80.21176619778022,57.02651473252274,0.0,0.0,0.0,450090.15008217486
41000244001,0.34541889375104096,300.5144375634057,189.82068679212784,121.7275,,,,,,,171.93753145000002,0.0,676006.36322,113.11441927857146,0.0,461523.90936374996,221.1579009130415,222.21796766405978,0.0,0.0,0.0,1984160.0747723249
47000010001,0.41312099692624493,359.4152673258331,227.0255414033849,145.58608999999998,,,,,,,1.5126110999999995,0.0,1512.6110999999996,1.5126110999999995,0.0,1512.6110999999996,274.41975341822746,195.91867633248413,0.0,0.0,0.0,3082364.677916683
47000325001,4.835864512514573,3820.332964886513,3436.8495473782227,2354.4324999999994,2591.281,0.0,10127049.1,1653.9792499999999,0.0,6714693.299999999,2162.14153925,0.0,8582147.041299999,1493.7587861249995,0.0,6137899.629776248,5514.142869039867,6498.073168835076,0.0,0.0,0.0,19987358.681094687
47000555001,4.1450267250124915,3274.571112759869,2945.871040609906,2018.085,1460.8395,0.0,5259022.2,952.7595000000001,0.0,3429934.1999999997,1460.8395,0.0,5259022.2,952.7595000000001,0.0,3429934.1999999997,3478.7551292339836,3121.0901367480274,0.0,0.0,0.0,25915951.8932792
47001360001,2.0725133625062457,1803.0866253804338,1138.924120752767,730.365,,,,,,,7.588349999999999,0.0,7588.349999999999,7.588349999999999,0.0,7588.349999999999,1376.687726178399,785.7481321071119,0.0,0.0,0.0,10939672.426020982
47002034001,0.8980891237527064,781.3375376648547,638.2720587988129,437.25175,250.96305,0.0,903466.9800000001,188.13924999999998,0.0,677301.3,286.403146575,0.0,1105191.95267,217.8981834946428,0.0,855039.0605298749,683.6793263479854,556.4118880795465,0.0,0.0,0.0,3769463.8166669183
22000210001,0.24179322562572864,210.3601062943839,171.84247736891115,117.72162499999999,,,,,,,120.35627201499997,0.0,473204.454254,79.18009349500001,0.0,323066.736554625,79.79176445649047,91.67061541249637,0.0,0.0,0.0,1431808.5676636053
22001230001,1.0362566812531229,901.5433126902169,736.4677601524764,504.52125,,,,,,,3.4790789032125,0.0,3479.0789032125,3.4790789032125,0.0,3479.0789032125,497.6726337386248,464.0568234710718,0.0,0.0,0.0,5279064.534674984
22003072002,1.105340460003331,961.6462002028981,785.5656108293082,538.1560000000001,,,,,,,3.7110174967600003,0.0,3711.01749676,3.7110174967600003,0.0,3711.01749676,9.94806414002998,208.80275564405005,0.0,0.0,0.0,5593550.002228698
22003157001,0.48358645125145727,420.7202125887678,343.6849547378223,235.44324999999998,152.78261249999997,0.0,550017.4049999999,106.23051249999999,0.0,382429.8449999999,152.78261249999997,0.0,550017.4049999999,106.23051249999999,0.0,382429.8449999999,512.72737080387,273.41479666278025,0.0,0.0,0.0,1904299.3390375804
22003221001,3.4541889375104096,2728.809260633224,1898.2068679212784,1217.2749999999999,965.2425000000001,0.0,3474873.0000000005,723.6125,0.0,2605005.0000000005,965.2425000000001,0.0,3474873.0000000005,723.6125,0.0,2605005.0000000005,2056.1405069424463,1295.89122451471,0.0,0.0,0.0,11099842.58756206
40000009002,4.835864512514573,3820.332964886513,3436.8495473782227,2354.4324999999994,,,,,,,2654.9004999999997,0.0,10356079.299999999,1759.2452499999995,0.0,7093650.9,2659.725481883015,3569.7240307924385,0.0,0.0,0.0,29183567.50239989
